district,end_date,issued_on,permittee_name,permit_no,address,lat,lng,start_date
District Territory-wide issues,14/08/2013,22/01/2013,"Paul Y. Construction Co., Ltd.",GW-RA0001-13,All streets in Kowloon and New Territories South (Drainage Maintenance Works)  [DSD Contract No.: DC/2011/01],-1,-1,15/02/2013
District Territory-wide issues,16/08/2013,30/01/2013,MTR Corporation Limited,GW-RA0002-13,"MTR West Rail Line (from Tuen Mun Station to Hung Hom Station) including related facilities such as Pat Heung Depot, Ventilation Buildings, Feeder Stations, Emergency Access Points, Infrastructures and Buildings",-1,-1,17/02/2013
District Territory-wide issues,14/08/2013,31/01/2013,"Paul Y. Construction Co., Ltd.",GW-RA0003-13,"All streets in Kwai Chung, Sham Shui Po, Tsing Yi, Tai Lam & Tsuen Wan (Drainage Maintenance Works) [DSD Contract No.: DC/2011/01]",-1,-1,15/02/2013
District Territory-wide issues,21/08/2013,08/02/2013,CRBC-WCCL JV,GW-RA0004-13,All roads in Kowloon West including Cross Harbour Tunnel and Western Harbour Crossing (excluding high speed roads) [Highways Department Contract No.: 13/HY/2009],-1,-1,22/02/2013
District Territory-wide issues,24/08/2013,07/02/2013,New Hong Kong Tunnel Company Limited,GW-RA0005-13,INSIDE EASTERN HARBOUR TUNNEL (IMMERSED TUBES),-1,-1,25/02/2013
District Territory-wide issues,31/08/2013,08/02/2013,Shun Yuen Construction Co. Ltd.,GW-RA0006-13,"All streets in Kwai Tsing, Tsuen Wan, Tuen Mun and Yuen Long, New Territories [Highways Department Contract No.: 08/HY/2008]",-1,-1,01/03/2013
District Territory-wide issues,22/09/2013,08/02/2013,Shun Yuen Construction Co. Ltd.,GW-RA0007-13,"All roads in Kwai Tsing, Tsuen Wan, Tuen Mun and Yuen Long, New Territories (excluding high speed roads) (Pothole patching works) [Highways Department Contract No.: 08/HY/2008]",-1,-1,23/03/2013
District Territory-wide issues,30/09/2013,08/02/2013,Shun Yuen Construction Co. Ltd.,GW-RA0008-13,"All roads in Kwai Tsing, Tsuen Wan, Tuen Mun and Yuen Long, New Territories (excluding high speed roads) (Road Marking Works) [Highways Department Contract No.: 08/HY/2008]",-1,-1,01/04/2013
District Territory-wide issues,30/09/2013,08/02/2013,Shun Yuen Construction Co. Ltd.,GW-RA0009-13,"All roads in Kwai Tsing, Tsuen Wan, Tuen Mun and Yuen Long, New Territories (excluding high speed roads) (Drainage Cleansing Works) [Highways Department Contract No.: 08/HY/2008]",-1,-1,01/04/2013
District Territory-wide issues,05/06/2013,08/02/2013,China Road and Bridge Corporation,GW-RA0010-13,Mainland North Districts (All streets in New Territories and Frontier Area) [DSD Contract No.: DC/2009/03],-1,-1,06/03/2013
District Territory-wide issues,24/08/2013,21/02/2013,Telecommunication Design Const. and Maintenance Limited (A PCCW Contractor),GW-RA0011-13,"ALL STREETS IN HONG KONG ISLAND, KOWLOON, NEW TERRITORIES AND OUTLYING ISLANDS (PCCW OUTDOOR PLANT CONSTRUCTION / MAINTENANCE WORKS) HK",22.2478599,114.2033843,25/02/2013
District Territory-wide issues,31/08/2013,25/02/2013,MTR Corporation Limited,GW-RA0012-13,"MTR Light Rail Transit all routes including all Stations, Light Rail Transit Depot, Rectifier Stations, Termini, Customer Service Centres, Radio Base Stations and Light Rail Transit Reserves",-1,-1,01/03/2013
District Territory-wide issues,01/09/2013,28/02/2013,Kwong Ming Engineering Limited,GW-RA0013-13,"ALL STREETS IN HONG KONG ISLAND, KOWLOON, NEW TERRITORIES AND OUTLYING ISLANDS (PCCW OUTDOOR PLANT CONSTRUCTION / MAINTENANCE WORKS) HK",22.2478599,114.2033843,02/03/2013
District Territory-wide issues,14/09/2013,01/03/2013,CLP Power Hong Kong Limited,GW-RA0014-13,"KOWLOON, NEW TERRITORIES, LANTAU ISLAND, OUTLYING ISLANDS (EXCLUDING LAMMA ISLAND)(ELECTRICAL SUBSTATION CONSTRUCTION WORKS) NT",-1,-1,15/03/2013
District Territory-wide issues,30/09/2013,08/03/2013,Chiu Hing Construction & Transportation Company Limited,GW-RA0015-13,"ROUTE 9 (TUEN MUN ROAD CH67.1 TO FANLING HIGHWAY CH31.5), ROUTE 5 (KWAI CHUNG ROAD CH12.43 TO TSUEN WAN ROAD CH17.9), ROUTE 3 (WEST KOWLOON HIGHWAY CH3.8-CH7.08), ROUTE 2 (KWUN TONG BYPASS CH39.00 - CH90.00), ROUTE 8 (NORTH LANTAU HIGHWAY CH0.0 - CH10.9 AND PENNY'S BAY HIGHWAY), ROUTE 10 (KONG SHAM WESTERN HIGHWAY AND SHENZHEN BAY NT",-1,-1,01/04/2013
District Territory-wide issues,10/09/2013,08/03/2013,Chiu Hing Construction & Transportation Co. Ltd.,GW-RA0016-13,"Cheung Pei Shan Road both bounds full width including all slip roads, Long Tin Road both bounds, San Tin Highway bound B (CH30.2 – CH39.0) & bound A (CH34.2 – CH36.25), Hung Tin Road both bounds (CH34.8 – CH35.75) and Fanling Highway both bounds (CH30.2 – CH31.75) [Highways Department Contract No. 11/HY/2007]",-1,-1,11/03/2013
District Territory-wide issues,30/09/2013,08/03/2013,Chiu Hing Construction & Transportation Company Limited,GW-RA0017-13,"ROUTE 9 (TUEN MUN ROAD CH67.1 TO FANLING HIGHWAY CH31.5), ROUTE 5 (KWAI CHUNG ROAD CH12.43 TO TSUEN WAN ROAD CH17.9), ROUTE 3 (WEST KOWLOON HIGHWAY CH3.8-CH7.08), ROUTE 2 (KWUN TONG BYPASS CH39.00 - CH90.00), ROUTE 8 (NORTH LANTAU HIGHWAY CH0.0 - CH10.9 AND PENNY'S BAY HIGHWAY), ROUTE 10 (KONG SHAM WESTERN HIGHWAY AND SHENZHEN BAY NT",-1,-1,01/04/2013
